,name,day,time,statement,topics
97,American Red Cross Disaster Relief club,1,1700,The American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the gene...,"{'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
98,"American Society for Engineering Education, Student Chapter",3,700,"The purpose of this organization is to empower students to participate in improving engineering education through:
A.	Developing interest in...","{'Technology', 'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
99,American Society for Microbiology Student Chapter at The Ohio State University,3,700,"The purpose of this organization is to promote a closer scientific relationship among persons interested in microbiology, to cultivate socia...","{'Academic/College', 'Special Interest', 'Columbus'}"
100,American Society of Agricultural and Biological Engineers,2,1830,The American Society of Agricultural and Biological Engineers is an educational and professional organization dedicated to the advancement o...,"{'Academic/College', 'Special Interest', 'Columbus'}"
101,American Society of Civil Engineers Ohio State Student Chapter,3,3100,"The object of this society shall be to afford an opportunity for the members of the Civil Engineering Department to become acquainted, to pr...","{'Academic/College', 'Columbus'}"
102,American Society of Consultant Pharmacists Student Chapter,3,1200,To provide a forum for pharmacy students to be able to become well-informed about pharmacists' roles in providing care to older adults and i...,"{'Academic/College', 'Special Interest', 'Columbus'}"
103,American Society of Interior Designers,3,700,ASID is a community of people committed to interior design. The success of our Society is proven by our vast membership of interior designer...,"{'Academic/College', 'Columbus'}"
104,American Society of Mechanical Engineers,3,3100,ASME OSU is The Ohio State University Student Section of the American Society of Mechanical Engineers. Our mission is to 1) Promote science ...,"{'Academic/College', 'Columbus', 'Technology'}"
105,American Student Dental Association,3,1630,"The American Student Dental Association is a national student-run organization that protects and advances the rights, interests, and welfare...","{'Academic/College', 'Columbus', 'Governance Organizations', 'Community Service/Service Learning'}"
106,American Student Dental Association Pre-Dental Chapter At The Ohio State University,3,1200,"The American Student Dental Association is a national student-run organization that protects and advances the rights, interests, and welfare...","{'Academic/College', 'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
107,American Welding Society at The Ohio State University,3,700,"The AWS provides enhancements to welding education, professional development, and social activities to its members as well as interested ind...","{'Academic/College', 'Special Interest', 'Columbus', 'Technology'}"
108,Amnesty International,4,1800,"We work to protect people wherever justice, freedom, truth, and dignity are denied.
Amnesty International is a global movement of millions o...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
109,Among Us Club at Ohio State,3,700,To enrich the lives of our communities and members through gaming with peers. OSUAUC is about building character and creating long lasting f...,"{'Technology', 'Special Interest', 'Columbus', 'Sports and Recreation'}"
110,AMPP® International Student Section at The Ohio State University,3,1500,The AMPP® International Student Section at The Ohio State University aims to utilize connections with AMPP® International and the local AMPP...,"{'Technology', 'Special Interest', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
111,Anatomy Memorial Service Committee,3,700,Our purpose is to organize and execute an annual memorial service for the families of individuals who donate their bodies to The Ohio State ...,"{'Academic/College', 'Special Interest', 'Columbus'}"
112,Anesthesiology Interest Group,3,700,To increase the opportunities for students at The Ohio State University to better learn about and prepare for a career in the field of anest...,"{'Academic/College', 'Special Interest', 'Columbus'}"
113,Anesthesiology Ultrasound Community of Practice Interest Group,3,2100,The Anesthesiology Ultrasound Community of Practice Interest Group is a group of medical student leaders who are dedicated to expanding acad...,"{'Academic/College', 'Special Interest', 'Columbus'}"
114,Animal Legal Defense Fund at Moritz,3,1200,"To provide a forum for education, advocacy, and scholarship aimed at protecting the lives and advancing the interests of animals through the...","{'Special Interest', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Awareness/Activism'}"
115,Animal Science Community Alliance,3,700,"The purpose of the Animal Science Community Alliance shall be to:  
-Recruit animal and meat science majors by enthusiastically representing...","{'Academic/College', 'Columbus', 'Community Service/Service Learning'}"
116,Animal Sciences Graduate Student Association,3,700,We the members of ASGSA hereby associate ourselves to promote fellowship and communication of information and ideas among all students inter...,"{'Academic/College', 'Columbus'}"
117,Animal Welfare and Behavior Club,1,1800,To educate and promote animal welfare science to the University and greater community.,"{'Academic/College', 'Special Interest', 'Columbus', 'Awareness/Activism'}"
118,Animation Club at The Ohio State University,1,1900,"To sponsor educational workshops, collaborate on creative projects, and enjoy animation in its limitless forms.","{'Creative and Performing Arts', 'Journalism', 'Columbus', 'and Creative Writing', 'Media', 'Technology'}"
119,Applied Ethics and Technology at Ohio State,1,1930,"This organization will engage in projects to bring public awareness to ethical issues. Initially, this will be done by creating a community ...","{'Journalism', 'Community Service/Service Learning', 'Columbus', 'and Creative Writing', 'Media', 'Technology', 'Awareness/Activism'}"
120,Arab Dental Society,3,700,The Arab Dental Society (hereafter referred to as ADS) of the OSU College of Dentistry (OSUCoD) is a professional student organization that ...,"{'Academic/College', 'Ethnic/Cultural', 'Columbus', 'Community Service/Service Learning'}"
121,Arab Student Union,3,700,The Arab Student Union seeks to create and maintain an Arab environment for the benefit of Arab students and interested members of the commu...,"{'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
122,Arawak Student Housing Cooperative,3,700,"The purpose of the Arawak Student Housing Cooperative (ASHC) is to provide low rent co-op housing for students, staff, faculty, and resident...","{'Special Interest', 'Columbus'}"
123,Architecture Student Council,3,700,"The Architecture Student Council strives to serve as mediators between the students and faculty, and to help foster a school-wide community....","{'Academic/College', 'Columbus'}"
124,Argentine Tango Club at The Ohio State University,5,1900,The Argentine Tango Club at The Ohio State University (or simply Tango at Ohio State) is dedicated to the study and practice of the social d...,"{'Ethnic/Cultural', 'Special Interest', 'Columbus', 'Creative and Performing Arts'}"
125,The Armed Forces Club at The Ohio State University College of Dentistry,3,700,"The Armed Forces Club at The Ohio State University College of Dentistry seeks to promote oral health in the Columbus community, to welcome n...","{'Special Interest', 'Columbus', 'Awareness/Activism', 'Community Service/Service Learning'}"
126,Armenian Students Association,3,700,The purpose of this organization is to bring Armenian students together in order to share and engage in the Armenian culture. To share the A...,"{'Community Service/Service Learning', 'Ethnic/Cultural', 'Columbus', 'Awareness/Activism'}"
127,Army ROTC Cadet Service Corps,3,700,To organize fundraising events and social functions for the Army ROTC program at The Ohio State University.,"{'Governance Organizations', 'Community Service/Service Learning', 'Columbus', 'Academic/College', 'Technology'}"
128,Arnold Air Society - General Curtis E. LeMay Squadron,3,2000,"Arnold Air Society is primarily a professional, honorary, service organization advocating the support of aerospace power.  Additionally, the...","{'Special Interest', 'Columbus', 'Community Service/Service Learning'}"
